urlId,keywordId
1,9948
2,18139
3,16314
4,7514
4,10802
4,10986
4,12846
4,13512
4,14963
4,14992
4,18068
4,18068
4,18123
4,19200
4,21437
4,21842
4,22287
4,23288
4,24268
4,26403
4,27533
5,18967
6,508
6,605
6,761
6,817
6,940
6,955
6,998
6,1038
6,1105
6,1162
6,1378
6,1477
6,1571
6,1872
6,1931
6,1996
6,2129
6,2204
6,2349
6,2748
6,2966
6,2988
6,3248
6,3316
6,3324
6,3392
6,3930
6,4497
6,4524
6,4602
6,4666
6,4965
6,4974
6,5152
6,5653
6,5897
6,6217
6,6219
6,6270
6,6408
6,6460
6,6525
6,6924
6,6935
6,7372
6,7503
6,7718
6,7854
6,8532
6,8577
6,8673
6,8799
6,9367
6,9493
6,9777
6,9832
6,10095
6,10204
6,10501
6,10983
6,10986
6,11052
6,11326
6,11358
6,11389
6,11417
6,11450
6,11679
6,12179
6,12190
6,12354
6,12438
6,12662
6,12725
6,13009
6,13229
6,13267
6,13599
6,13654
6,13666
6,13673
6,13820
6,14107
6,14149
6,14602
6,14917
6,15250
6,15639
6,15817
6,16476
6,16501
6,16632
6,16728
6,16749
6,16756
6,16958
6,17047
6,17365
6,17567
6,17679
6,17729
6,18068
6,18115
6,18684
6,19037
6,19142
6,19143
6,19948
6,20005
6,20553
6,20820
6,20952
6,21047
6,21111
6,21196
6,21201
6,21446
6,21803
6,21816
6,22224
6,22391
6,22539
6,22573
6,22652
6,22938
6,22956
6,23419
6,23573
6,23765
6,23822
6,24200
6,24269
6,24318
6,24400
6,24708
6,24804
6,25363
6,25408
6,25508
6,25757
6,25949
6,25952
6,26317
6,26357
6,26458
6,26636
6,26903
7,18068
7,20569
8,4701
8,17570
9,6822
9,11810
10,18068
11,7854
11,14149
11,23288
12,18068
13,24326
14,23890
15,13208
15,24943
16,20142
17,14543
18,6025
19,23748
20,20870
21,16313
22,8991
22,25973
23,12016
24,3380
24,20748
24,22760
25,1686
26,6025
27,3784
28,22973
29,5841
29,13374
29,20326
30,4742
30,10707
31,8827
31,11432
31,25918
31,27201
32,4558
33,16940
34,6119
34,13287
34,14298
34,20360
34,23907
34,24471
34,25441
34,27348
35,20026
36,3065
36,4443
36,12821
36,14557
36,16882
36,19568
36,21965
36,25711
36,26358
37,1234
38,12225
38,14495
38,16588
38,16689
39,1442
39,3684
39,15091
39,15519
39,23072
40,12830
41,16372
41,22194
42,24041
43,23712
44,10188
45,20000
45,22489
46,16889
47,18962
48,18962
49,8818
50,2223
50,22807
50,27564
51,8349
52,4744
52,4805
52,9248
52,14909
52,14909
53,22916
54,4850
55,8349
56,7419
56,20525
57,9921
57,10724
57,14630
57,20301
57,24378
58,13498
59,3064
59,14785
59,24339
59,24546
60,27100
60,27237
61,9586
61,18413
62,4566
62,7907
62,9812
62,10546
62,14318
62,19967
62,21061
62,21180
63,1059
63,6074
63,16910
63,25330
64,21041
65,15987
66,1797
67,13625
68,143
68,826
68,2178
68,2246
68,2332
68,2556
68,2736
68,2879
68,3699
68,3952
68,5466
68,5627
68,6780
68,9465
68,9512
68,11684
68,13501
68,13727
68,13976
68,14451
68,14957
68,15229
68,15291
68,16099
68,16103
68,16329
68,16965
68,16971
68,19025
68,19724
68,20023
68,22102
68,23117
68,24412
